문장	여성/가족	남성	성소수자	인종/국적	연령	지역	종교	기타 혐오	악플/욕설	clean	개인지칭
일안하는 시간은 쉬고싶어서 그런게 아닐까	0	0	0	0	0	0	0	0	0	1	0
아동성범죄와 페도버는 기록바 끊어져 영원히 고통 받는다. 무슬림 50퍼 근친이다. 10 16까지 IQ 떨어지고 출산 위험은 400% 다.	0	0	0	0	0	0	1	0	0	0	0
루나 솔로앨범 나왔을 때부터 머모 기운 있었음 ㅇㅇ Keep o  doin 진짜 띵곡임 꼭 들어보셈"	0	0	0	0	0	0	0	0	0	1	0
홍팍에도 어버이연합인가 보내요 뭐 이런뎃글 있는데 이거 어버이연합측에 신고하면 그쪽에서 고소 가능하냐?	0	0	0	0	0	0	0	0	0	1	0
아놔 왜 여기 댓들은 다 여자들이 김치녀라고 먼저 불렸다! 여자들은 더 심하게 그런다! 이렇게 2개로 싸우냐.. 내가 볼 땐 둘다 나쁜 말 그 이상도 이하도 아닌데	1	0	0	0	0	0	0	0	0	0	0
고향가서 피방가면 동네 부럴 친구들이랑은 뭐 거르는 거 없이 이야기하니까 막 말하게 되더라 당연히 키보드를 치거나 그러지는 않는데 말하는게 많이 거칠어지긴 해 반성해야겠네	0	0	0	0	0	0	0	0	0	1	0
예수 십새끼 개새끼 창녀아들 애비실종 가정교육 못받은 무뇌충 허언증 정신병자 사기꾼 망상 근본없는 병신 장애인 짱개 흑인 이슬람 전라도랑 동급	0	0	0	1	0	1	1	1	0	0	0
나이쳐먹고 피시방가는 놈들은 대가리에 똥만찬 놈들임	0	0	0	0	0	0	0	0	1	0	0
출산청같은 소리하네. 우리나라 계집들 다 의무적으로 군대보내면 해결될 일이다. 정신개조부터 시켜야지. 지할꺼 다하고 무슨 애를 낳고 무슨 자식교육을 하냐?	1	0	0	0	0	0	0	0	0	0	0
재능 ㅂㅅㅌㅊ노 ㅋㅋㅋㅋㅋ나도 합성배우고싶다이기	0	0	0	0	0	0	0	0	0	1	0
가짜 남자는 어떻게 생겼냐?	0	0	1	0	0	0	0	0	0	0	0
이슬람뺨치내	0	0	0	1	0	0	1	0	0	0	0
아 어린이집에 월요일에 데려다주고 금요일에 데리고 왔단다...... 아 가슴이 너무 아프다......고작 3살 아가가 얼마나 외로웠을까.....아~~~~~~~~~~~~~~~!!!!!!!!!!!!!!	0	0	0	0	0	0	0	0	0	1	0
갓슬람 정희구현 테러 ㅅㅅㅅㅅ미제양키새끼들에게는 테러가 답이다좆같은 양키 씨발새끼들	0	0	0	1	0	0	1	0	0	0	0
AICPA 따고 넘어갔나보네	0	0	0	0	0	0	0	0	0	1	0
원 리더십, 원 메시지로 내부 결속을 더 강화하고 외부로 리마커블(remarkable)한 이미지를 구축하여 다시 교회로 모일수 있기를 소망하고 기도합니다	0	0	0	0	0	0	0	0	0	1	0
협박스킬은 패시브랑께	0	0	0	0	0	0	0	0	0	1	0
